EmployeeID,PerformanceScore,CurrentEmployeeRating,SurveyDate,EngagementScore,SatisfactionScore,WorkLifeBalanceScore,Training_Date,Training_ProgramName,Training_Type,Training_Outcome,Training_Location,Training_Trainer,Training_DurationDays,Training_Cost
3472,Exceeds,4,2023-07-26,5,5,4,2023-02-12,Technical Skills,External,Completed,Port Karatown,Matthew Meyer,5,537.24
3473,Exceeds,2,2023-06-28,3,4,4,2022-12-06,Communication Skills,External,Failed,Wagnertown,Frank Harris,5,789.99
3474,Fully Meets,2,2023-05-09,3,1,2,2022-09-01,Customer Service,External,Incomplete,New Michaelport,Justin Rodriguez,5,155.51
3475,Fully Meets,2,2023-01-25,4,3,4,2022-11-02,Customer Service,Internal,Passed,South Taylorfurt,Jenna Sherman,2,648.76
3476,Needs Improvement,2,2023-03-03,5,5,3,2022-11-18,Leadership Development,Internal,Incomplete,Stephanieshire,Dr. Margaret Allen,4,533.5
3477,Needs Improvement,2,2022-12-05,1,2,1,2022-11-07,Leadership Development,External,Failed,New Cynthia,Kristin Terry,5,429.48
3478,Fully Meets,2,2022-11-29,3,4,1,2022-10-05,Technical Skills,External,Incomplete,Port Matthew,Daniel Solomon,1,526.74
3479,Fully Meets,2,2022-11-03,4,4,4,2023-01-18,Communication Skills,Internal,Passed,Stephanieburgh,Michael Dixon,3,443.45
3480,Fully Meets,1,2023-07-25,1,5,3,2023-03-02,Leadership Development,External,Failed,North Amyfurt,Robert Hill,1,887.15
3481,Fully Meets,4,2023-03-02,5,2,4,2023-05-29,Technical Skills,External,Incomplete,East Charleston,Glenda Ryan,5,758.95
3482,Needs Improvement,2,2022-10-22,4,5,5,2023-03-03,Technical Skills,Internal,Failed,Saraland,Jennifer Brown,1,627.11
3483,Fully Meets,1,2022-10-23,1,4,5,2022-08-10,Project Management,External,Passed,Manuelfort,Cody Adams,4,111.96
3484,Fully Meets,4,2022-09-16,1,2,4,2023-06-27,Project Management,External,Passed,Johnsonport,Justin Barton,1,795.7
3485,Fully Meets,5,2023-05-07,2,1,3,2022-08-07,Customer Service,Internal,Passed,Port Bradley,Michael Chase,2,796.45
3486,Fully Meets,4,2022-08-27,3,1,1,2023-07-23,Project Management,Internal,Completed,Lake Angelafort,Daniel Jones,5,812.59
3487,Fully Meets,4,2022-09-23,5,4,1,2023-07-17,Project Management,External,Completed,Lake Lindsayton,Duane Trevino,5,132.97
3488,Fully Meets,2,2023-03-11,1,5,1,2022-09-20,Communication Skills,Internal,Completed,West Cynthia,Terrence Hopkins,1,308.19
3489,Fully Meets,2,2022-12-03,2,4,5,2023-07-02,Project Management,Internal,Passed,Isabelchester,Brittany Savage,1,131.41
3490,Fully Meets,2,2022-10-12,5,3,2,2023-07-19,Technical Skills,Internal,Failed,Lake Robertberg,Samantha Williams,3,389.59
3491,Fully Meets,5,2022-09-10,3,4,5,2023-07-14,Project Management,Internal,Incomplete,Petersville,Stephen Blair,3,442.56
3492,Fully Meets,1,2023-01-13,1,5,5,2022-09-06,Project Management,Internal,Incomplete,Christinahaven,Amanda Greene,3,327.66
3493,Fully Meets,5,2023-04-02,3,1,5,2023-02-19,Project Management,Internal,Completed,Joelmouth,Cathy Fleming,3,400.95
3494,Fully Meets,4,2022-12-15,1,2,1,2023-02-11,Technical Skills,Internal,Completed,Victoriahaven,James Perez,2,910.45
3495,Fully Meets,4,2022-09-08,4,3,5,2022-12-21,Customer Service,External,Passed,Port Andrew,Christian Higgins,1,701.55
3496,Fully Meets,5,2022-12-26,1,3,2,2023-02-16,Project Management,Internal,Incomplete,Port Ashleybury,Monica Keller,1,806.87
3497,Fully Meets,1,2022-09-18,2,3,4,2023-03-11,Communication Skills,Internal,Completed,Kelseyborough,Sydney Johnson,2,184.21
3498,Fully Meets,2,2023-06-19,3,3,4,2023-05-30,Project Management,External,Failed,Yorkport,Amy Clark,1,208.43
3499,Fully Meets,5,2023-07-21,5,3,5,2023-01-30,Technical Skills,Internal,Incomplete,East Bradley,Angela Lee,2,762.45
3500,Fully Meets,1,2023-05-14,4,1,4,2023-06-15,Leadership Development,External,Incomplete,Smithchester,Larry Morales,4,779.79
3501,Fully Meets,4,2023-02-20,2,3,4,2023-06-09,Project Management,External,Passed,South Kaylachester,Troy Adams,3,135.95
3502,Fully Meets,1,2023-04-24,5,3,5,2023-01-03,Customer Service,External,Incomplete,East Karlton,Bryan Kennedy PhD,3,427.12
3503,Fully Meets,4,2023-01-28,5,2,3,2023-02-20,Technical Skills,Internal,Completed,East Brandonview,Lisa Shelton,4,996.35
3504,Fully Meets,2,2023-04-20,3,4,3,2023-06-02,Communication Skills,Internal,Completed,Brittneyside,Linda Pena,5,963.23
3505,Fully Meets,1,2022-11-10,4,3,2,2022-09-13,Leadership Development,Internal,Failed,West Jamesburgh,Sophia Roberts,5,260.97
3506,Fully Meets,2,2023-06-27,2,2,3,2023-05-21,Leadership Development,Internal,Completed,Deleonport,Jonathan Peterson,1,781.81
3507,Fully Meets,4,2023-03-31,2,5,2,2023-05-25,Project Management,Internal,Passed,Loriberg,Michael Copeland,4,651.77
3508,Fully Meets,5,2023-04-17,1,5,4,2023-04-04,Communication Skills,External,Completed,South Michael,Ashley Contreras,1,568.22
3509,Fully Meets,2,2022-12-03,4,5,2,2023-03-04,Leadership Development,External,Completed,Diamondchester,William Smith,4,612.1
3510,Fully Meets,2,2022-08-22,2,4,3,2022-10-27,Technical Skills,External,Completed,Stevensside,Donna Diaz,4,473.23
3511,Fully Meets,4,2023-05-11,5,4,5,2023-04-07,Technical Skills,Internal,Completed,Anthonyville,Juan Peck,3,344.44
3512,Fully Meets,2,2023-02-20,5,1,3,2022-11-25,Communication Skills,Internal,Failed,Bryantport,Sharon Miller,2,206.44
3513,Fully Meets,5,2023-05-11,4,1,3,2023-06-03,Communication Skills,External,Completed,East Adam,Katie Harrington,1,599.0
3514,Fully Meets,1,2022-08-25,2,1,1,2023-02-21,Leadership Development,Internal,Incomplete,West Adam,Jimmy Lucero,3,975.46
3515,Fully Meets,4,2023-07-03,3,5,5,2023-02-04,Customer Service,Internal,Completed,West Keith,Elizabeth Cook,1,143.96
3516,Fully Meets,5,2022-11-15,2,3,5,2023-06-22,Technical Skills,Internal,Incomplete,Lake Stephen,Gregory Kramer,1,570.42
3517,Fully Meets,4,2023-01-01,4,1,1,2022-09-17,Technical Skills,Internal,Failed,Hillberg,Mr. Frederick Fuentes,3,391.31
3518,Fully Meets,2,2023-05-13,4,2,5,2023-06-27,Customer Service,Internal,Completed,Port Vanessafort,Michael Parker,3,826.58
3519,Fully Meets,2,2023-06-10,1,3,4,2022-12-11,Leadership Development,External,Incomplete,Deborahshire,Patrick Reeves,4,930.69
3520,Fully Meets,1,2022-09-17,5,1,1,2022-09-11,Customer Service,External,Incomplete,North Anthonybury,Robin Sims,1,607.93
3521,Fully Meets,4,2022-09-19,1,3,3,2023-02-28,Communication Skills,Internal,Incomplete,West Travis,Lindsay Matthews,5,723.5
3522,Fully Meets,1,2023-07-14,1,5,4,2023-05-05,Communication Skills,External,Completed,Gonzalesberg,Joe Gonzalez,5,394.04
3523,Fully Meets,2,2023-02-27,3,2,3,2023-07-10,Leadership Development,External,Incomplete,South William,Felicia Berg,2,451.18
3524,Fully Meets,2,2023-05-19,3,2,4,2023-01-02,Communication Skills,Internal,Completed,Wilsonmouth,Jessica Vazquez,5,124.65
3525,Fully Meets,2,2023-02-01,1,2,1,2022-10-09,Leadership Development,External,Incomplete,East Michaelburgh,Tara Christensen,4,237.75
3526,Fully Meets,4,2023-01-28,1,5,3,2022-10-15,Customer Service,Internal,Passed,Thompsonton,Denise Wilkerson,2,360.5
3527,Fully Meets,1,2023-02-27,1,3,2,2023-01-06,Project Management,Internal,Failed,Berryland,Scott Richardson,4,396.28
3528,Fully Meets,2,2023-05-27,5,2,2,2023-03-02,Technical Skills,External,Passed,Port Williamville,Joseph Phillips,1,465.96
3529,Fully Meets,2,2023-07-15,2,3,4,2022-09-04,Project Management,Internal,Incomplete,South Andretown,Julie Hoffman,1,515.56
3530,Fully Meets,2,2022-11-27,1,2,5,2023-01-18,Customer Service,External,Passed,Emilyside,Christopher Gonzalez,2,496.85
3531,Fully Meets,1,2023-02-24,2,4,4,2022-11-30,Leadership Development,External,Completed,Dannybury,Kristen Harris,3,629.46
3532,Fully Meets,1,2022-10-08,2,2,5,2023-05-02,Technical Skills,Internal,Failed,Michaelhaven,Scott Anderson,2,771.61
3533,Fully Meets,2,2023-01-08,2,5,2,2023-05-11,Leadership Development,Internal,Completed,North Janet,Jamie Dougherty,4,418.4
3534,Fully Meets,4,2023-04-14,4,3,2,2023-05-21,Customer Service,Internal,Completed,Jacksonbury,Kathleen Bailey,3,900.96
3535,Fully Meets,4,2022-11-01,1,5,1,2023-06-25,Technical Skills,External,Incomplete,Derrickview,Katherine Valentine,1,936.96
3536,Fully Meets,2,2022-10-09,1,2,4,2022-11-23,Leadership Development,External,Passed,New Jamesstad,Marissa Dean,5,269.03
3537,Fully Meets,2,2022-09-09,4,2,5,2023-02-06,Leadership Development,Internal,Completed,Griffintown,Janice Leblanc,4,853.77
3538,Fully Meets,2,2023-04-20,1,5,4,2022-10-06,Technical Skills,Internal,Failed,East Crystal,Joshua Mcguire,4,141.07
3539,Fully Meets,5,2023-02-06,3,3,4,2023-03-17,Project Management,External,Failed,Brandtchester,Justin Adams,4,234.77
3540,Exceeds,4,2023-06-25,2,2,3,2022-10-26,Communication Skills,External,Incomplete,West Josephmouth,Kristin Rodriguez,2,903.46
3541,Exceeds,2,2022-11-28,1,3,3,2023-05-22,Customer Service,External,Passed,East Timothy,Ronald Butler,4,380.3
3542,Needs Improvement,1,2022-10-18,2,3,4,2022-08-22,Project Management,Internal,Failed,New Tyler,Jessica Lopez,4,511.42
3543,Fully Meets,2,2023-02-11,4,5,5,2023-05-21,Communication Skills,External,Passed,Charlesville,Brett Turner IV,4,171.03
3544,Fully Meets,2,2022-09-14,3,5,3,2023-05-02,Leadership Development,External,Passed,Rayborough,Mrs. Nicole Simon,3,842.93
3545,Fully Meets,1,2023-05-27,2,5,2,2023-05-04,Customer Service,External,Incomplete,Lopezbury,Monica Jimenez,5,581.12
3546,Exceeds,1,2023-05-10,2,5,5,2022-11-21,Project Management,External,Passed,New Faith,Stephanie Horton,4,426.45
3547,Needs Improvement,2,2022-12-24,2,4,2,2023-04-24,Technical Skills,External,Failed,Port Robertbury,Timothy Black,4,805.05
3548,Fully Meets,1,2022-10-06,5,5,3,2022-08-16,Leadership Development,External,Passed,Lake Tinamouth,Corey Hernandez,3,368.8
3549,Fully Meets,2,2023-04-19,1,4,1,2022-11-02,Communication Skills,External,Failed,Claudiashire,John Gutierrez DDS,5,788.67
3550,Fully Meets,1,2023-01-23,3,5,4,2023-04-09,Project Management,Internal,Completed,New Bonnie,Lisa Gibbs,4,363.11
3551,Needs Improvement,4,2023-06-03,4,4,3,2022-10-27,Communication Skills,External,Incomplete,Danielfort,Jesus Daniel,1,570.13
3552,Needs Improvement,1,2022-10-14,3,4,2,2022-11-26,Leadership Development,External,Failed,Charlottebury,John Miller,4,480.87
3553,Fully Meets,4,2022-10-30,4,2,4,2022-12-11,Project Management,Internal,Incomplete,West David,Christopher Curtis,5,689.48
3554,Fully Meets,1,2023-06-07,2,1,2,2023-06-05,Project Management,Internal,Completed,Carsonmouth,Collin Santiago,4,283.33
3555,Fully Meets,4,2023-01-13,2,5,1,2023-03-04,Leadership Development,External,Passed,Nashview,Darlene Vega,4,566.12
3556,Exceeds,2,2023-06-11,2,2,3,2023-02-11,Customer Service,Internal,Incomplete,Christinastad,Mandy Morrison,1,513.92
3557,Fully Meets,2,2023-04-20,4,5,2,2023-02-04,Project Management,External,Failed,East Cherylmouth,Melissa Oliver,1,210.38
3558,Fully Meets,1,2022-10-05,2,5,3,2023-07-18,Technical Skills,Internal,Completed,Lake Markberg,Cassandra Bell,1,941.54
3559,Fully Meets,2,2022-12-27,3,2,1,2022-11-30,Project Management,External,Failed,West Michelletown,John Allen,2,959.81
3560,Exceeds,4,2023-01-09,2,4,5,2023-05-22,Technical Skills,External,Passed,East Jenna,Rebecca Welch,1,738.92
3561,Fully Meets,5,2022-11-20,2,1,5,2022-09-07,Technical Skills,External,Failed,Lake Johnstad,Samuel Lynch,5,445.04
3562,Exceeds,2,2022-11-27,2,1,3,2023-01-02,Project Management,External,Failed,West William,Jason Gallegos,3,808.05
3563,PIP,4,2023-01-31,4,1,3,2023-04-06,Leadership Development,External,Passed,Lake Tammyborough,Samantha Fisher,4,886.9
3564,Fully Meets,1,2023-03-12,4,4,3,2022-12-10,Technical Skills,External,Incomplete,North Richard,Kimberly Thomas,4,106.14
3565,Fully Meets,4,2022-09-29,5,5,5,2023-05-06,Project Management,External,Passed,Courtneymouth,Samantha Nichols,4,684.35
3566,Fully Meets,2,2023-01-27,1,2,3,2022-09-05,Communication Skills,Internal,Failed,Jordanborough,John Gamble,2,578.81
3567,Fully Meets,4,2023-08-04,2,3,2,2023-06-09,Customer Service,Internal,Completed,Sierraton,April Wilson,5,764.51
3568,Fully Meets,2,2023-02-07,2,4,1,2022-08-23,Project Management,Internal,Incomplete,Frenchside,Anthony Nixon,2,201.76
3569,Fully Meets,2,2022-12-24,1,3,5,2022-11-09,Technical Skills,External,Incomplete,Fernandezborough,Rachel Foster,4,730.04
3570,Fully Meets,1,2023-01-02,2,5,3,2023-03-29,Project Management,External,Failed,Port Kristopherfurt,Matthew Ramirez,2,796.88
3571,Fully Meets,4,2022-11-23,4,1,5,2023-08-04,Project Management,External,Completed,North William,Tanya Melendez,3,834.44
3572,Fully Meets,5,2022-12-05,5,5,5,2023-05-19,Leadership Development,Internal,Failed,Port Dennis,Brady Newton,5,569.17
3573,Exceeds,4,2022-12-31,4,1,1,2022-10-06,Customer Service,Internal,Completed,Port Desireeburgh,Francis Cox,4,386.07
3574,Fully Meets,1,2023-07-07,3,3,3,2022-09-05,Customer Service,Internal,Completed,Port Amy,Sharon Mcfarland,1,309.56
3575,Exceeds,5,2023-06-26,5,1,5,2022-12-12,Technical Skills,Internal,Incomplete,South Paulport,Brian Hood,3,583.21
3576,Exceeds,4,2023-03-23,2,3,3,2023-02-02,Project Management,External,Completed,East Taylor,Jesse Sullivan,5,398.65
3577,Fully Meets,4,2022-08-14,5,4,5,2023-01-26,Communication Skills,Internal,Passed,New Jasonland,Mr. John Singh,5,931.46
3578,Exceeds,2,2022-10-14,1,4,2,2022-12-01,Project Management,External,Completed,Allenborough,Nathan Jones,5,115.06
3579,Needs Improvement,4,2023-04-27,5,3,3,2023-04-27,Communication Skills,External,Failed,South Jillian,Amber Wright,2,199.82
3580,Fully Meets,4,2022-10-21,2,4,3,2022-11-04,Communication Skills,Internal,Failed,New Jamesside,Kelly Rodriguez,5,940.2
3581,Fully Meets,2,2022-08-29,3,4,4,2023-01-29,Communication Skills,External,Completed,Michaelberg,Todd Ramirez,1,122.07
3582,Fully Meets,4,2022-09-17,2,2,5,2022-09-09,Communication Skills,Internal,Completed,Lopezborough,Erik Reeves,4,875.02
3583,Needs Improvement,4,2023-07-05,4,1,4,2023-03-18,Communication Skills,Internal,Incomplete,Philipburgh,Jennifer Woods,4,116.4
3584,Fully Meets,4,2023-05-28,2,2,5,2022-12-15,Technical Skills,External,Passed,Johnathanmouth,Penny Taylor,5,341.78
3585,Fully Meets,4,2023-01-12,1,2,3,2023-02-14,Communication Skills,Internal,Completed,Michaelfort,Jacob Lee,4,107.48
3586,Fully Meets,2,2023-01-31,4,2,4,2022-09-30,Communication Skills,External,Completed,Browntown,Tamara Hayes,1,502.7
3587,Fully Meets,2,2023-05-24,1,2,2,2023-03-22,Leadership Development,External,Completed,New Larryshire,Darren Lam,5,570.04
3588,Fully Meets,2,2023-05-10,4,2,1,2023-03-23,Communication Skills,External,Passed,Montgomeryland,Casey Johnston,1,538.83
3589,Fully Meets,1,2022-09-18,2,3,2,2023-01-07,Communication Skills,Internal,Incomplete,Tapiabury,Brian Graham,4,881.8
3590,Fully Meets,4,2022-12-06,2,5,4,2023-04-02,Leadership Development,External,Completed,North Janetbury,Michelle Baker,1,274.33
3591,Needs Improvement,5,2023-07-27,2,1,4,2023-03-01,Customer Service,Internal,Failed,Michaelfurt,Amy Murray,1,247.01
3592,Fully Meets,3,2022-11-15,4,1,2,2023-01-30,Leadership Development,External,Incomplete,Williamsborough,Daniel Wilson,1,734.68
3593,Fully Meets,1,2022-10-07,4,4,3,2023-06-15,Project Management,Internal,Incomplete,West Kathrynmouth,Joanne Ward,3,258.07
3594,Needs Improvement,1,2023-01-23,1,5,1,2023-05-05,Leadership Development,Internal,Passed,Jamieville,Ian Martinez,5,472.64
3595,Fully Meets,1,2023-01-19,2,3,1,2023-02-21,Technical Skills,External,Passed,Popetown,Angela Sanchez,2,252.88
3596,Needs Improvement,2,2022-10-19,4,3,4,2022-12-14,Technical Skills,Internal,Incomplete,Lake Alejandroborough,Philip Williams,2,289.68
3597,Fully Meets,1,2022-10-27,5,4,4,2023-03-03,Technical Skills,External,Incomplete,Port Jennifershire,Katrina Maldonado,4,505.59
3598,Needs Improvement,1,2023-07-01,2,5,4,2022-10-11,Technical Skills,Internal,Passed,Aliciahaven,Matthew Alvarado,3,373.87
3599,Fully Meets,2,2023-03-02,4,4,2,2023-03-02,Leadership Development,Internal,Completed,Crystalview,Jason Taylor,5,918.86
3600,Fully Meets,2,2023-07-04,2,1,4,2022-11-01,Leadership Development,Internal,Passed,Lake Stephanie,Randy Lewis,4,299.7
3601,Fully Meets,5,2022-09-01,1,1,2,2023-01-03,Project Management,External,Completed,Leeville,Larry Clark,1,865.58
3602,Fully Meets,5,2023-08-04,3,3,3,2023-04-09,Technical Skills,External,Incomplete,New Michael,Joyce Williams,1,632.59
3603,Fully Meets,2,2022-10-08,5,1,3,2022-10-02,Technical Skills,External,Incomplete,East Kristaton,Daniel Daugherty,3,680.48
3604,Needs Improvement,4,2022-12-15,3,5,4,2023-03-23,Project Management,External,Failed,Lake Scotttown,Ryan Russell,3,287.71
3605,Fully Meets,4,2023-07-09,5,1,3,2022-11-17,Communication Skills,External,Passed,Ayalaton,Jennifer Armstrong,2,102.92
3606,Fully Meets,3,2023-03-27,3,5,1,2022-10-31,Project Management,Internal,Passed,New Derrick,Elizabeth Powell,2,255.6
3607,Fully Meets,5,2023-07-18,2,4,1,2023-05-04,Customer Service,External,Passed,Port Tammyside,Andre Maxwell,4,321.91
3608,Fully Meets,3,2023-01-12,1,3,1,2023-03-14,Project Management,External,Completed,Blankenshiphaven,Robert Herrera,3,834.12
3609,Fully Meets,3,2022-11-05,2,2,4,2022-09-23,Customer Service,Internal,Passed,Williamschester,Christopher Jackson,4,273.88
3610,Fully Meets,3,2022-12-14,4,5,5,2023-02-15,Customer Service,Internal,Incomplete,North Betty,Gina Morris,4,217.57
3611,Fully Meets,2,2022-09-16,2,3,4,2023-01-07,Customer Service,Internal,Completed,Rojasberg,Alan Robinson,1,482.09
3612,PIP,4,2023-07-07,5,3,3,2023-07-03,Leadership Development,External,Failed,Kenthaven,Patricia Phillips,2,614.11
3613,Exceeds,1,2022-10-13,1,5,2,2022-10-08,Customer Service,Internal,Incomplete,Justinmouth,Kathy Pearson,1,354.22
3614,Fully Meets,2,2023-07-04,4,5,1,2023-06-04,Leadership Development,External,Passed,Emilymouth,Paul Bradley,3,868.85
3615,Exceeds,2,2023-02-06,3,1,4,2022-12-17,Communication Skills,Internal,Passed,New Paul,James Young,4,701.34
3616,Fully Meets,4,2023-08-04,1,1,1,2023-01-30,Customer Service,Internal,Incomplete,Lake Sherryside,Jared Moses,4,134.93
3617,Fully Meets,1,2023-02-26,2,3,3,2023-04-09,Customer Service,Internal,Completed,East Rachel,Cathy Porter DVM,5,531.1
3618,Fully Meets,3,2022-12-06,3,4,5,2022-12-26,Leadership Development,External,Passed,East Parkerchester,Laura Carpenter,3,609.3
3619,Fully Meets,3,2023-04-30,1,5,2,2022-11-10,Project Management,Internal,Passed,Davismouth,Ashley Ball,2,656.68
3620,Fully Meets,2,2022-08-29,1,2,2,2022-12-20,Technical Skills,Internal,Completed,North Ebony,Christine Carter,3,654.22
3621,Fully Meets,2,2023-06-23,2,3,2,2023-07-15,Leadership Development,External,Passed,Lake Teresa,Frank Perry,3,879.89
3622,Fully Meets,3,2023-07-26,3,1,5,2023-05-11,Project Management,External,Completed,East Kevinport,Mary Little,1,977.23
3623,Fully Meets,3,2022-12-04,2,2,5,2023-08-03,Project Management,External,Completed,Ballborough,Philip James,2,763.37
3624,Fully Meets,4,2023-01-09,2,2,2,2023-04-05,Communication Skills,External,Passed,Thomasberg,William Oconnor,5,962.13
3625,Fully Meets,5,2022-08-28,5,2,4,2023-03-26,Technical Skills,External,Incomplete,East Jaime,Lisa Suarez,2,617.27
3626,Fully Meets,2,2023-02-24,2,5,1,2022-09-25,Communication Skills,Internal,Failed,Whitneytown,Melissa Powell PhD,2,559.78
3627,Fully Meets,3,2023-01-29,1,1,4,2022-08-30,Leadership Development,Internal,Incomplete,West Amandaburgh,Jessica Mills,5,113.89
3628,Fully Meets,3,2023-05-27,4,3,1,2022-09-25,Leadership Development,Internal,Incomplete,Paulshire,Edward Morris,4,858.62
3629,Fully Meets,5,2022-11-18,2,4,4,2023-07-30,Technical Skills,Internal,Incomplete,Jacksonville,Rachel Hood,1,343.76
3630,Fully Meets,5,2022-10-19,5,3,2,2022-09-24,Technical Skills,Internal,Failed,Hillland,Johnathan Rodriguez,5,507.58
